source_lemma,target_translation,source,source_id,uri
(polo)zemnice,pit house,amcr,HES-000497,https://api.aiscr.cz/id/HES-000497
**suborál (paleoklimatologie),Subboreal (paleoclimatology),teater,1068,https://teater.aiscr.cz/id/1068
1) teorie a přístupy,1) Theory and approaches,teater,1,https://teater.aiscr.cz/id/1
10) pomocně-historická hesla,10) Auxiliary-historical headings,teater,2557,https://teater.aiscr.cz/id/2557
10–20 km,10–20 km,amcr,HES-000101,https://api.aiscr.cz/id/HES-000101
11) povolání a pracovní činnosti,11) Professions and work activities,teater,3094,https://teater.aiscr.cz/id/3094
12) společnost,12) Society,teater,3549,https://teater.aiscr.cz/id/3549
2) terénní metody,2) Field methods,teater,102,https://teater.aiscr.cz/id/102
20–30 km,20–30 km,amcr,HES-000102,https://api.aiscr.cz/id/HES-000102
3) metody zpracování,3) Processing methods,teater,140,https://teater.aiscr.cz/id/140
30–40 km,30–40 km,amcr,HES-000103,https://api.aiscr.cz/id/HES-000103
3d dokumentace,3D documentation,amcr,HES-001114,https://api.aiscr.cz/id/HES-001114
3d rekonstrukce,3D reconstruction,amcr,HES-001113,https://api.aiscr.cz/id/HES-001113
3d textura,3D texture,amcr,HES-001115,https://api.aiscr.cz/id/HES-001115
3d – 3d printing (*.3mf),3D – 3D Printing (*.3mf),amcr,HES-000158,https://api.aiscr.cz/id/HES-000158
"3d – 3d studio max (*.max, *.3ds)","3D – 3D Studio Max (*.max, *.3ds)",amcr,HES-000164,https://api.aiscr.cz/id/HES-000164
3d – autocad (*.dwg),3D – Autocad (*.dwg),amcr,HES-000152,https://api.aiscr.cz/id/HES-000152
3d – autodesk exchange (*.fbx),3D – Autodesk Exchange (*.fbx),amcr,HES-000153,https://api.aiscr.cz/id/HES-000153
3d – blender (*.blend),3D – Blender (*.blend),amcr,HES-000154,https://api.aiscr.cz/id/HES-000154
3d – collada (*.dae),3D – Collada (*.dae),amcr,HES-000155,https://api.aiscr.cz/id/HES-000155
3d – jiný,3D – other,amcr,HES-000166,https://api.aiscr.cz/id/HES-000166
"3d – leica (*.pts, *.ptx)","3D – Leica (*.pts, *.ptx)",amcr,HES-000156,https://api.aiscr.cz/id/HES-000156
3d – obj (*.obj),3D – OBJ (*.obj),amcr,HES-000157,https://api.aiscr.cz/id/HES-000157
3d – revit (*.rvt),3D – Revit (*.rvt),amcr,HES-000159,https://api.aiscr.cz/id/HES-000159
3d – sketchup (*.skp),3D – Sketchup (*.skp),amcr,HES-000160,https://api.aiscr.cz/id/HES-000160
3d – stanford ply (*.ply),3D – Stanford PLY (*.ply),amcr,HES-000161,https://api.aiscr.cz/id/HES-000161
3d – stereo litography (*.stl),3D – Stereo Litography (*.stl),amcr,HES-000163,https://api.aiscr.cz/id/HES-000163
3d – universal (*.u3d),3D – Universal (*.u3d),amcr,HES-000162,https://api.aiscr.cz/id/HES-000162
3d – vrml (*.wrl),3D – VRML (*.wrl),amcr,HES-000165,https://api.aiscr.cz/id/HES-000165
4) hraniční obory a přidružené obory,4) Cross-border and related disciplines,teater,288,https://teater.aiscr.cz/id/288
40–50 km,40–50 km,amcr,HES-000104,https://api.aiscr.cz/id/HES-000104
5) chronologie,5) Chronology,teater,1050,https://teater.aiscr.cz/id/1050
50–60 km,50–60 km,amcr,HES-000105,https://api.aiscr.cz/id/HES-000105
6 x 6 cm,6 x 6 cm,amcr,HES-000142,https://api.aiscr.cz/id/HES-000142
6 x 9 cm,6 x 9 cm,amcr,HES-000143,https://api.aiscr.cz/id/HES-000143
6) areál aktivity,6) Activity area,teater,1267,https://teater.aiscr.cz/id/1267
60–70 km,60–70 km,amcr,HES-000106,https://api.aiscr.cz/id/HES-000106
7) objekt,7) Feature,teater,1481,https://teater.aiscr.cz/id/1481
70–80 km,70–80 km,amcr,HES-000107,https://api.aiscr.cz/id/HES-000107
8) předmět,8) Object,teater,1788,https://teater.aiscr.cz/id/1788
80–90 km,80–90 km,amcr,HES-000108,https://api.aiscr.cz/id/HES-000108
9 x 12 cm,9 x 12 cm,amcr,HES-000144,https://api.aiscr.cz/id/HES-000144
9) materiálové specifikace,9) Material specifications,teater,2430,https://teater.aiscr.cz/id/2430
90–100 km,90–100 km,amcr,HES-000109,https://api.aiscr.cz/id/HES-000109
<10 km,<10 km,amcr,HES-000100,https://api.aiscr.cz/id/HES-000100
>100 km,>100 km,amcr,HES-000110,https://api.aiscr.cz/id/HES-000110
>a0,>A0,amcr,HES-000151,https://api.aiscr.cz/id/HES-000151
a0 (84 x 119 cm),A0 (84 x 119 cm),amcr,HES-000150,https://api.aiscr.cz/id/HES-000150
